(Carine le Britannia, Carine ne Britannia)
(I Order you, Suzaku Kururugi (episode), Battle of Shikine Island)
(I Order you, Suzaku Kururugi (episode), Shinichiro Tamaki)
(I Order you, Suzaku Kururugi (episode), Kagesaki)
(I Order you, Suzaku Kururugi (episode), Chinese Federation)
(I Order you, Suzaku Kururugi (episode), Ashford Academy)
(I Order you, Suzaku Kururugi (episode), Lancelot)
(I Order you, Suzaku Kururugi (episode), Nina)
(I Order you, Suzaku Kururugi (episode), Rivalz)
(I Order you, Suzaku Kururugi (episode), Zero)
(I Order you, Suzaku Kururugi (episode), Kosetsu Urabe)
(I Order you, Suzaku Kururugi (episode), Ryoga Senba)
(I Order you, Suzaku Kururugi (episode), V.V.)
(I Order you, Suzaku Kururugi (episode), Inoue)
(I Order you, Suzaku Kururugi (episode), Charles zi Britannia)
(I Order you, Suzaku Kururugi (episode), C.C.)
(I Order you, Suzaku Kururugi (episode), Sutherland)
(I Order you, Suzaku Kururugi (episode), Eleven)
(I Order you, Suzaku Kururugi (episode), Cecile)
(I Order you, Suzaku Kururugi (episode), Sayoko Shinozaki)
(I Order you, Suzaku Kururugi (episode), Burai)
(I Order you, Suzaku Kururugi (episode), Lelouch vi Britannia)
(I Order you, Suzaku Kururugi (episode), Lloyd Asplund)
(I Order you, Suzaku Kururugi (episode), Cornelia li Britannia)
(I Order you, Suzaku Kururugi (episode), Cornelia)
(I Order you, Suzaku Kururugi (episode), Charles)
(I Order you, Suzaku Kururugi (episode), Rivalz Cardemonde)
(I Order you, Suzaku Kururugi (episode), Nunnally vi Britannia)
(I Order you, Suzaku Kururugi (episode), Rakshata Chawla)
(I Order you, Suzaku Kururugi (episode), Nagisa Chiba)
(I Order you, Suzaku Kururugi (episode), Kento Sugiyama)
(I Order you, Suzaku Kururugi (episode), Diethard)
(I Order you, Suzaku Kururugi (episode), Kaname Ohgi)
(I Order you, Suzaku Kururugi (episode), Senba)
(I Order you, Suzaku Kururugi (episode), Lelouch)
(Refrain (Drug), Area 11)
(Refrain (Drug), Chinese Federation)
(Refrain (Drug), Holy Britannian Empire)
(Refrain (Drug), Britannian)
(Refrain (Drug), Lelouch)
(Refrain (Drug), The Black Knights)
(Refrain (Drug), Refrain (episode))
(Refrain (Drug), Honorary Britannian)
(Refrain (Drug), Code Geass: Knightmare of Nunnally)
(Refrain (Drug), Britannian police force)
(Refrain (Drug), Cornelia)
(Joan of Arc, C.C.)
(Joan of Arc, Suzaku)
(Joan of Arc, Geass)
(Joan of Arc, Nightmare of Nunnally)
(Joan of Arc, Eden Vital)
(Joan of Arc, Holy Empire of Britannia)
(EU, Europia United)
(Kingsley, Julius Kingsley)
(The Wyvern Divided Picture Drama, Code Geass: Akito the Exiled)
(Gloucester Final Type, Landspinner Propulsion System)
(Gloucester Final Type, Holy Britannian Empire)
(Gloucester Final Type, Gloucester)
(Gloucester Final Type, Slash Harkens)
(Gloucester Final Type, Yggdrasil Drive)
(Gloucester Final Type, Energy Filler)
(Gloucester Final Type, Cockpit Ejection System)
(Gloucester Final Type, Britannian Military)
(Gloucester Final Type, Factsphere Sensor)
(Gloucester Final Type, Code Geass DS)
(Burai Special Weapons A-Type, Landspinner Propulsion System)
(Burai Special Weapons A-Type, Kyoto House)
(Burai Special Weapons A-Type, The Black Knights)
(Burai Special Weapons A-Type, Slash Harken)
(Burai Special Weapons A-Type, Burai)
(Burai Special Weapons A-Type, Energy Filler)
(Burai Special Weapons A-Type, Cockpit Ejection System)
(Burai Special Weapons A-Type, Yggdrasil Drive)
(Burai Special Weapons A-Type, The Messenger from Kyoto)
(Burai Special Weapons A-Type, Code Geass DS)
(Burai Special Weapons A-Type, Factsphere Sensor)
(Istanbul, Knights of St. Michael)
(Istanbul, Euro Britannia)
(Istanbul, Britannia)
(Istanbul, The Wyvern Arrives (episode))
(Benjamin Franklin, C.C.)
(Benjamin Franklin, Britannian)
(Burai Powered Type, Factsphere Sensor)
(Burai Powered Type, Yggdrasil Drive)
(Burai Powered Type, Burai)
(Burai Powered Type, Code Geass: Lelouch of the Rebellion)
(Burai Powered Type, Landspinner Propulsion System)
(Burai Powered Type, Kyoto House)
(Burai Powered Type, The Black Knights)
(Burai Powered Type, Slash Harken)
(Burai Powered Type, Energy Filler)
(Burai Powered Type, Cockpit Ejection System)
(Burai Powered Type, The Messenger from Kyoto)
(Burai Powered Type, Code Geass DS)
(The Stolen Mask, The Stolen Mask (episode))
(Turn 23, Schneizel's Guise (episode))
(Lelouch Lamperouge Best, Lelouch vi Britannia)
(Yamato Alliance, Zero)
(Yamato Alliance, Saitama Ghetto Ambush)
(Yamato Alliance, Cornelia li Britannia)
(Yamato Alliance, Attack Cornelia (episode))
(Yamato Alliance, Japanese Resistance)
(Glinda Knights, Toto Thompson)
(Glinda Knights, Portman)
(Glinda Knights, Caerleon-class Floating Battleship)
(Glinda Knights, Code Geass: Oz the Reflection)
(Glinda Knights, Maribelle mel Britannia)
(Glinda Knights, Holy Britannian Empire)
(Glinda Knights, Marrybell mel Britannia)
(Glinda Knights, Bradford)
(Glinda Knights, VTOL)
(Glinda Knights, Sutherland)
(Glinda Knights, Sutherland Glinda)
(Glinda Knights, Lancelot)
(Glinda Knights, Vincent Gram)
(Glinda Knights, Leonhardt Steiner)
(Glinda Knights, Zetland)
(Glinda Knights, Oldrin Zevon)
(Glinda Knights, Sutherland Eye)
(Glinda Knights, Tink Lockhart)
(Glinda Knights, Black Rebellion)
(Glinda Knights, Sokkia Scerpa)
(Glinda Knights, Britannian Military)
(Glinda Knights, Gloucester Glinda)
(Glinda Knights, Nonette Enneagram)
(Glinda Knights, Vincent)
(Glinda Knights, Kanon)
(Glinda Knights, Orpheus Zevon)
(Glinda Knights, Lancelot Grail)
(Lin Xingke, Li Xingke)
(Brown Agony, Tamaki)
(Brown Agony, Lelouch vi Britannia)
(Brown Agony, Villetta Nu)
(Brown Agony, Zero)
(Brown Agony, Kallen Kōzuki)
(Brown Agony, Black Knights)
(Brown Agony, Knightmare Frame)
(Brown Agony, Ohgi)
(Brown Agony, Naoto Kōzuki)
(Kosaka Ayano, Ayano Kosaka)
(Britannian Carrier-Battleship, Second Pacific War)
(Britannian Carrier-Battleship, Holy Britannian Empire)
(Britannian Carrier-Battleship, Portman)
(Britannian Carrier-Battleship, Schneizel el Britannia)
(Britannian Carrier-Battleship, Chinese Federation)
(Britannian Carrier-Battleship, Black Knights)
(Britannian Carrier-Battleship, Cornelia li Britannia)
(Britannian Carrier-Battleship, Battle of Fukuoka Base)
(Britannian Carrier-Battleship, Britannian Navy)
(Britannian Carrier-Battleship, Suzaku Kururugi)
(Britannian Carrier-Battleship, Lancelot Conquista)
(Alan Necker, The Wyvern Divided (episode))
(Alan Necker, Holy Britannian Empire)
(Alan Necker, Gloucester)
(Alan Necker, CLAMP)
(Alan Necker, Knights of St. Michael)
(Alan Necker, Code Geass: Akito the Exiled)
(Burai Heavy Weapons Type, Factsphere Sensor)
(Burai Heavy Weapons Type, Yggdrasil Drive)
(Burai Heavy Weapons Type, Burai)
(Burai Heavy Weapons Type, Code Geass: Lelouch of the Rebellion)
(Burai Heavy Weapons Type, Landspinner Propulsion System)
(Burai Heavy Weapons Type, Kyoto House)
(Burai Heavy Weapons Type, The Black Knights)
(Burai Heavy Weapons Type, Slash Harken)
(Burai Heavy Weapons Type, Energy Filler)
(Burai Heavy Weapons Type, Cockpit Ejection System)
(Burai Heavy Weapons Type, The Messenger from Kyoto)
(Burai Heavy Weapons Type, Code Geass DS)
(Victoria, Knight of the Rounds)
(Turn 25.01, Sayoko)
(Turn 25.01, Gino)
(Turn 25.01, Zero)
(Turn 25.01, Geass Canceler)
(Turn 25.01, Kallen)
(Turn 25.01, Student Council)
(Turn 25.01, Villetta)
(Turn 25.01, Code Geass: Lelouch of the Rebellion R2)
(Turn 25.01, Anya)
(Turn 25.01, Holy Britannian Empire)
(Turn 25.01, Nunnally vi Britannia)
(Turn 25.01, Nina)
(Turn 25.01, The Black Knights)
(Turn 25.01, Milly)
(Turn 25.01, Jeremiah)
(Turn 25.01, Rivalz)
(Turn 25.01, Ashford Academy)
(Clear Skies, Followed By Summer Rain, Hare Nochi Natsu no Ame)
(Second Pacific War, Invasion of Japan)
(Code Geass: Lelouch of the Rebellion R1, Code Geass: Lelouch of the Rebellion)
(Code Geass: Lelouch of the Rebellion R1, Code Geass)
(Callin', Code Geass)
(Ayano Kosaka, The Wyvern Arrives (episode))
(Ayano Kosaka, Ryo Sayama)
(Ayano Kosaka, Knightmare Frame)
(Ayano Kosaka, Liverpool)
(Ayano Kosaka, AI-Alexander)
(Ayano Kosaka, Europia United)
(Ayano Kosaka, Knights of St. Michael)
(Ayano Kosaka, Gloucester)
(Ayano Kosaka, Code Geass: Akito the Exiled)
(Ayano Kosaka, Ashley Ashura)
(Ayano Kosaka, Japanese)
(Ayano Kosaka, Alexander Type-02)
(Ayano Kosaka, CLAMP)
(Ayano Kosaka, W-0)
(Ayano Kosaka, To Beloved Ones (episode))
(Ayano Kosaka, Jan Manes)
(Ayano Kosaka, Akito Hyuga)
(Ayano Kosaka, Shin Hyuga Shing)
(Ayano Kosaka, Sutherland)
(Ayano Kosaka, Oscar Hamel)
(Ayano Kosaka, Alexander Valiant)
(George Nakata, Diethard Ried)
(Alice Shing, Alice Shaing)
(Guinevere, Guinevere de Britannia)
(Turn 16, United Federation of Nations Resolution Number One (episode))
(Guren Mk-II Kai, Kallen Kōzuki)
(Guren Mk-II Kai, Yggdrasil Drive)
(Guren Mk-II Kai, Knightmare Frame)
(Guren Mk-II Kai, Guren Mk-II)
(Guren Mk-II Kai, Radiant Wave Surger)
(Guren Mk-II Kai, Landspinner Propulsion System)
(Guren Mk-II Kai, Militarized Zone of India)
(Guren Mk-II Kai, The Black Knights)
(Guren Mk-II Kai, Slash Harken)
(Guren Mk-II Kai, Energy Filler)
(Guren Mk-II Kai, Cockpit Ejection System)
(Guren Mk-II Kai, Code Geass DS)
(Rolo, Rolo Lamperouge)
(Charles Di Britannia, Charles zi Britannia)
(Schneizel el Britannia, Clovis)
(Schneizel el Britannia, Euphemia)
(Schneizel el Britannia, Special Administrative Zone of Japan)
(Schneizel el Britannia, Carine ne Britannia)
(Schneizel el Britannia, Cornelia li Britannia)
(Schneizel el Britannia, Suzaku)
(Schneizel el Britannia, Nunnally vi Britannia)
(Schneizel el Britannia, Kanon Maldini)
(Schneizel el Britannia, Damocles)
(Schneizel el Britannia, Euphemia li Britannia)
(Schneizel el Britannia, Nunnally)
(Schneizel el Britannia, Odysseus eu Britannia)
(Schneizel el Britannia, Lelouch Lamperouge)
(Schneizel el Britannia, Charles zi Britannia)
(Schneizel el Britannia, Gawain)
(Schneizel el Britannia, Japan)
(Schneizel el Britannia, V.V.)
(Schneizel el Britannia, Clovis la Britannia)
(Schneizel el Britannia, Euphemia Li Britannia)
(Schneizel el Britannia, Area 11)
(Schneizel el Britannia, Black Knights)
(Schneizel el Britannia, Tokyo Settlement)
(Schneizel el Britannia, Odysseus)
(Schneizel el Britannia, Britannian Imperial Family)
(Schneizel el Britannia, Clovis La Britannia)
(Schneizel el Britannia, Marianne vi Britannia)
(Schneizel el Britannia, Europia United)
(Schneizel el Britannia, Emperor)
(Schneizel el Britannia, Nunnally Lamperouge)
(Schneizel el Britannia, Marrybell mel Britannia)
(Schneizel el Britannia, Lelouch)
(Schneizel el Britannia, Code R Research Team)
(Schneizel el Britannia, Code Geass: Nunnally in Wonderland)
(Schneizel el Britannia, Cornelia Li Britannia)
(Schneizel el Britannia, Britannian)
(Schneizel el Britannia, Elevens)
(Schneizel el Britannia, Lloyd Asplund)
(Schneizel el Britannia, Lancelot)
(Schneizel el Britannia, Holy Britannian Empire)
(Schneizel el Britannia, Cornelia)
(Schneizel el Britannia, F.L.E.I.J.A.)
(Schneizel el Britannia, Guinevere de Britannia)
(Schneizel el Britannia, Avalon)
(Schneizel el Britannia, Lelouch vi Britannia)
(Schneizel el Britannia, Emperor of Britannia)
(Schneizel el Britannia, Thought Elevator)
(Carine ne Britannia, Clovis la Britannia)
(Carine ne Britannia, Schneizel el Britannia)
(Carine ne Britannia, Guren Mk-I)
(Carine ne Britannia, Code Geass: Oz the Reflection)
(Carine ne Britannia, Byakuen)
(Carine ne Britannia, Holy Britannian Empire)
(Carine ne Britannia, Marrybell mel Britannia)
(Carine ne Britannia, Lelouch)
(Carine ne Britannia, Guinevere)
(Carine ne Britannia, Euphemia li Britannia)
(Carine ne Britannia, Camelot)
(Carine ne Britannia, V.V.)
(Carine ne Britannia, Odysseus eu Britannia)
(Carine ne Britannia, Geass)
(Carine ne Britannia, Britannian)
(Carine ne Britannia, Charles zi Britannia)
(Carine ne Britannia, Cornelia li Britannia)
(Carine ne Britannia, Tianzi)
