(Ian's, Ian Hainsworth)
(Mr. Manzani, S8)
(Mr. Manzani, Putting It Together)
(Mr. Manzani, Joe Marinelli)
(Mr. Manzani, Grandmother Manzani)
(Mr. Manzani, Mrs. Manzani)
(Mr. Manzani, Jimmy Manzani)
(Mr. Manzani, Manzani Daughter)
(Rose Kemper, Orson Hodge)
(Rose Kemper, Rose's Turn)
(Rose Kemper, S5)
(Rose Kemper, 4348 Wisteria Lane)
(Rose Kemper, A Spark. To Pierce the Dark)
(Stewart Copeland, Desperate Housewives)
(Stewart Copeland, Danny Elfman)
(Unaired Pilot, Marcia Cross)
(Unaired Pilot, Andrew Van de Kamp)
(Unaired Pilot, Parker Scavo)
(Unaired Pilot, Cody Kasch)
(Unaired Pilot, Brent Kinsman)
(Unaired Pilot, Carlos Solis)
(Unaired Pilot, Eva Longoria)
(Unaired Pilot, Bree Van de Kamp)
(Unaired Pilot, Doug Savant)
(Unaired Pilot, Shane Kinsman)
(Unaired Pilot, Martha Huber)
(Unaired Pilot, Porter Scavo)
(Unaired Pilot, Julie Mayer)
(Unaired Pilot, Tom Scavo)
(Unaired Pilot, Mark Moses)
(Unaired Pilot, Christine Estabrook)
(Unaired Pilot, Edie Britt)
(Unaired Pilot, Rex Van de Kamp)
(Unaired Pilot, Shawn Pyfrom)
(Unaired Pilot, Joy Lauren)
(Unaired Pilot, John Rowland)
(Unaired Pilot, Karl Mayer)
(Unaired Pilot, Paul Young)
(Unaired Pilot, Charles McDougall)
(Unaired Pilot, Zane Huett)
(Unaired Pilot, Desperate Housewives)
(Unaired Pilot, Richard Burgi)
(Unaired Pilot, Lynette Scavo)
(Unaired Pilot, Mary Alice Young)
(Unaired Pilot, Preston Scavo)
(Unaired Pilot, Mike Delfino)
(Unaired Pilot, Marc Cherry)
(Unaired Pilot, Danielle Van de Kamp)
(Unaired Pilot, Zach Young)
(Unaired Pilot, James Denton)
(Unaired Pilot, Teri Hatcher)
(Unaired Pilot, Susan Mayer)
(Unaired Pilot, Ricardo Antonio Chavira)
(Unaired Pilot, Felicity Huffman)
(Unaired Pilot, Gabrielle Solis)
(Unaired Pilot, Andrea Bowen)
(Susan's, Susan Delfino)
(Eagle State, Wisteria Lane)
(Eagle State, Desperate Housewives)
(Eagle State, Fairview)
(1.03, Pretty Little Picture)
(Charles Carver, Charlie Carver)
(Victor, Victor Lang)
(Richard Chamberlain, Desperate Housewives)
(Richard Chamberlain, Season Four)
(Richard Chamberlain, Season 4)
(Richard Chamberlain, Glen Wingfield)
(Carolyn, Carolyn Bigsby)
(Fashion Dolls, That's Good, That's Bad)
(Fashion Dolls, Lynette)
(Fashion Dolls, Susan)
(Fashion Dolls, Color and Light)
(Fashion Dolls, Thank You So Much)
(Fashion Dolls, Gabrielle)
(Fashion Dolls, Lynette Scavo)
(Fashion Dolls, They Asked Me Why I Believe In You)
(Fashion Dolls, Bree Van de Kamp)
(Fashion Dolls, Bree)
(Fashion Dolls, Edie)
(Fashion Dolls, Edie Britt)
(Fashion Dolls, Susan Mayer)
(Fashion Dolls, Gabrielle Solis)
(Fashion Dolls, The Sun Won't Set)
(Dr. Brent Avedon, Eagle State)
(Dr. Brent Avedon, Susan)
(Dr. Brent Avedon, Mike Delfino)
(Dr. Brent Avedon, Mary Alice)
(Dr. Brent Avedon, S6)
(Dr. Brent Avedon, The Chase)
(Dr. Brent Avedon, Robin Gallagher)
(Dr. Brent Avedon, Richard Gilliland)
(Dr. Brent Avedon, Fairview)
(Dr. Brent Avedon, Katherine Mayfair)
(Dr. Brent Avedon, How About a Friendly Shrink?)
(The Hotel Maid, Motel Maid)
(Nike Doukas, Desperate Housewives)
(Nike Doukas, Natalie Klein)
(Nike Doukas, 8)
(Nike Doukas, 1)
(José Zuniga, José Zúñiga)
(Motel Maid, Everybody Ought to Have a Maid)
(Mr. Shaw, Kendra Taylor)
(Mr. Shaw, Martha Huber)
(Mr. Shaw, Guilty)
(Mr. Shaw, Anything You Can Do)
(Mr. Shaw, Paul Young)
(Mr. Shaw, Richard Roundtree)
(Mr. Shaw, Mike Delfino)
(Mr. Shaw, Sunday in the Park with George)
(Mr. Shaw, Edie Britt)
(Mr. Shaw, Noah Taylor)
(Mr. Shaw, Who's That Woman?)
(Mr. Shaw, Susan Delfino)
(Mr. Shaw, Deirdre Taylor)
(Mr. Shaw, Fairview)
(Mr. Shaw, Fear No More)
(Jenny, Jenny Hunter-McDermott)
(Daphne Bicks, Wisteria Lane)
(Daphne Bicks, S6)
(Daphne Bicks, If...)
(Daphne Bicks, Boom Crunch)
(Daphne Bicks, Jeff Bicks)
(Kathleen Gati, Season 3)
(Kathleen Gati, 3)
(Kathleen Gati, Desperate Housewives)
(Kathleen Gati, Maya)
(List of deaths, Orson Hodge)
(List of deaths, Matthew Applewhite)
(List of deaths, Gilbert McCluskey)
(List of deaths, Ellie Leonard)
(List of deaths, Patrick Scavo)
(List of deaths, Carolyn Bigsby)
(List of deaths, Iris Beckley)
(List of deaths, Mrs. Mason)
(List of deaths, Chuck Vance)
(List of deaths, Martha Huber)
(List of deaths, Eli Scruggs)
(List of deaths, Sylvia Greene)
(List of deaths, Jeff Bicks)
(List of deaths, Rex Van de Kamp)
(List of deaths, Alma Hodge)
(List of deaths, Karen's son)
(List of deaths, Guilty)
(List of deaths, Donny)
(List of deaths, Irina Korsakov)
(List of deaths, Nora Huntington)
(List of deaths, Frank Kaminsky)
(List of deaths, Scruffles)
(List of deaths, Lila Dash)
(List of deaths, Daphne Bicks)
(List of deaths, Samuel Heller)
(List of deaths, Mona Clarke)
(List of deaths, Mary Alice Young)
(List of deaths, Noah Taylor)
(List of deaths, One Wonderful Day)
(List of deaths, Dave Williams)
(List of deaths, Zach Young)
(List of deaths, Edwin Hodge)
(List of deaths, Ilene Britt)
(List of deaths, Dick Barrows)
(List of deaths, Dylan Davis)
(List of deaths, George Williams)
(List of deaths, Emily Portsmith)
(List of deaths, Lillian Simms)
(List of deaths, Pilot)
(List of deaths, Carlos Solis)
(List of deaths, Eddie Orlofsky)
(List of deaths, Paul Young)
(List of deaths, Karl Mayer)
(List of deaths, Katherine Mayfair)
(List of deaths, Jane Hainsworth)
(List of deaths, Edie Britt)
(List of deaths, There Won't Be Trumpets)
(List of deaths, Deirdre Taylor)
(List of deaths, Paige Dash)
(List of deaths, Melanie Foster)
(List of deaths, Eddie)
(List of deaths, Bradley Scott)
(List of deaths, Glen Wingfield)
(List of deaths, Maya)
(List of deaths, Maria Scott)
(List of deaths, Monique Polier)
(List of deaths, Juanita "Mama" Solis)
(List of deaths, Alejandro Perez)
(List of deaths, Felicia Tilman)
(List of deaths, Ida Greenberg)
(List of deaths, Teresa Pruitt)
(List of deaths, Beth Young)
(List of deaths, Barbara Orlofsky)
(List of deaths, Mike Delfino)
(List of deaths, Rebecca Shepherd)
(List of deaths, Cupcake)
(List of deaths, Wayne Davis)
(List of deaths, Victor Lang)
(List of deaths, Gloria Hodge)
(List of deaths, Patrick Logan)
(List of deaths, Karen McCluskey)
(Morty, Morty Flickman)
(Susan Bremmer, Susan Delfino)
(Pete Romslo, Andy Umberger)
(Pete Romslo, Season 2)
(Pete Romslo, Susan)
(Pete Romslo, Next)
(Pete Romslo, Free)
(Pete Romslo, Wayne Davis)
(Pete Romslo, Mike)
(Pete Romslo, Season 4)
(Pete Romslo, Zach Young)
(Pete Romslo, Adam Mayfair)
(Pete Romslo, Julie)
(Pete Romslo, Katherine)
(Nealla Gordon, Desperate Housewives)
(Nealla Gordon, Sheila Bukowski)
(Nealla Gordon, 1)
(Darien Pinkerton, Darien and Kerstin Pinkerton)
(Mrs.Mason, Mrs. Mason)
(Michael Reilly Burke, Desperate Housewives)
(Michael Reilly Burke, Rex Van de Kamp)
(Michael Reilly Burke, 1)
(3.07, Bang)
(Everybody Says Don't (Season two episode), Everybody Says Don't (Season 2))
