removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Bryan Konietzko,1833,13161,7.180032733224222,7.180032733224222,0,3.44063306160355,881
"Sozin's Comet, Part 4: Avatar Aang",1832,13050,7.123362445414847,7.123362445414847,0,3.4498341571364377,878
Society in the World of Avatar,1831,12941,7.067722555980339,7.067722555980339,0,3.4632464347635934,877
Cuisine in the World of Avatar,1830,12836,7.0142076502732245,7.0142076502732245,0,3.4674107986927045,861
Invasion of the Fire Nation,1829,12733,6.96172772006561,6.96172772006561,0,3.4754216639142324,860
Weaponry in the World of Avatar,1828,12632,6.910284463894967,6.910284463894967,0,3.491471849021461,855
The Ember Island Players,1827,12532,6.859332238642583,6.859332238642583,0,3.501470220821402,854
Fire Nation Capital,1826,12434,6.809419496166484,6.809419496166484,0,3.5093014018304896,852
Coup of Ba Sing Se,1825,12336,6.7594520547945205,6.7594520547945205,0,3.515542959839635,851
Aang's relationships,1824,12240,6.7105263157894735,6.7105263157894735,0,3.515542959839635,851
"Sozin's Comet, Part 2: The Old Masters",1823,12144,6.66154690071311,6.66154690071311,0,3.524434962330822,849
Military of the Earth Kingdom,1822,12049,6.613062568605928,6.613062568605928,0,3.5383498362700765,848
Book One: Water,1821,11955,6.56507413509061,6.56507413509061,0,3.5549218739071438,846
Yue,1820,11863,6.518131868131868,6.518131868131868,0,3.5629280125634484,845
Bumi (King of Omashu),1819,11772,6.471687740516767,6.471687740516767,0,3.567681840134892,842
Kuei,1818,11681,6.425192519251925,6.425192519251925,0,3.5721834383336173,840
List of Avatar: The Last Airbender DVDs,1817,11591,6.3791964777105115,6.3791964777105115,0,3.577394955353714,839
The Tales of Ba Sing Se,1816,11503,6.334251101321586,6.334251101321586,0,3.6020711169083017,833
"The Siege of the North, Part 2",1815,11416,6.289807162534435,6.289807162534435,0,3.6125193916460066,831
The Headband,1814,11330,6.245865490628446,6.245865490628446,0,3.6364076329443225,830
Western Air Temple,1813,11246,6.202978488692774,6.202978488692774,0,3.640989668012797,829
Kyoshi,1812,11162,6.160044150110375,6.160044150110375,0,3.647633609636133,828
Zuko Alone,1811,11079,6.117614577581446,6.117614577581446,0,3.6877128159484234,827
Republic City,1810,10997,6.075690607734806,6.075690607734806,0,3.7005752439650745,826
