(Kishua Zelretch Schweinorg, Kischur Zelretch Schweinorg)
(Berserker (Fate/Grand Order - Darius III), Nakahara)
(Berserker (Fate/Grand Order - Darius III), Fate)
(Berserker (Fate/Grand Order - Darius III), Caster (Fate/Grand Order - Nitocris))
(Ally of Justice, Hero of Justice)
(Divine Spirit, Nature Spirit)
(Divine Spirit, Lancer (Fate/Grand Order - Romulus))
(Divine Spirit, Lancer (Fate/Prototype: Fragments))
(Divine Spirit, Fate/hollow ataraxia)
(Divine Spirit, Artemis)
(Divine Spirit, Saver (Fate/Extra))
(Divine Spirit, Rama)
(Divine Spirit, Medusa)
(Divine Spirit, Age of Gods)
(Divine Spirit, Fergus mac Róich)
(Divine Spirit, Thor)
(Divine Spirit, Kiara Sessyoin)
(Divine Spirit, Berserker (Fate/stay night))
(Divine Spirit, Shiki Tohno)
(Divine Spirit, Hades's Cap of Invisibility)
(Divine Spirit, Fate/Extra CCC)
(Divine Spirit, Ishtar)
(Divine Spirit, Servant)
(Divine Spirit, Berserker (Fate/kaleid liner PRISMA☆ILLYA - Unknown))
(Divine Spirit, Rider (Fate/Grand Order - Quetzalcoatl))
(Divine Spirit, Tamamo-no-Mae)
(Divine Spirit, Nuada)
(Divine Spirit, Mystic Eyes of Death Perception)
(Divine Spirit, Hippolyta)
(Divine Spirit, Divinity)
(Divine Spirit, Fate/Grand Order)
(Divine Spirit, Brynhildr)
(Divine Spirit, Moon Cell)
(Divine Spirit, Codecasts)
(Divine Spirit, Cú Chulainn)
(Divine Spirit, Achilles)
(Divine Spirit, Ereshkigal)
(Divine Spirit, Noble Phantasm)
(Divine Spirit, Amaterasu)
(Divine Spirit, Chiron)
(Divine Spirit, Saber (Fate/Grand Order - Gaius Julius Caesar))
(Divine Spirit, Jaguar Man)
(Divine Spirit, Arjuna)
(Divine Spirit, True Demon)
(Divine Spirit, Kingprotea)
(Divine Spirit, Alexander the Great)
(Divine Spirit, Divine Bull)
(Divine Spirit, Gordius Wheel)
(Divine Spirit, Heroic Spirit)
(Divine Spirit, Gilgamesh)
(Divine Spirit, Medea)
(Divine Spirit, Karna)
(Divine Spirit, Mjölnir)
(Divine Spirit, Heracles)
(Divine Spirit, BB)
(Divine Spirit, Skill)
(Divine Spirit, Lancer (Fate/Grand Order - Fionn))
(Divine Spirit, Root)
(Divine Spirit, Nasuverse)
(Divine Spirit, Stheno)
(Divine Spirit, Sigurd)
(Divine Spirit, Tiamat)
(Divine Spirit, Elemental)
(Divine Spirit, Euryale)
(Divine Spirit, Asclepius)
(Divine Spirit, Vajra)
(Arondite, Arondight)
(Karyou Kaie, Kaie Karyou)
(Aoi Tohsaka, Kirei Kotomine)
